post_shortcode,commenter_username,comment_text,comment_likes
DH8oOZEMz6w,imamnh13,$80 games in this economy?? :nauseated_face::nauseated_face::nauseated_face:,1089
DH8oOZEMz6w,noah670.png,$90 games is insane,1805
DH8oOZEMz6w,davebotdesign,Game key cards are unacceptable. Put the games on the cards.,154
DH8oOZEMz6w,landon_hastie,Are you guys out of your mind selling games for 80 for digital and 90 dollars for physical back when gameboy color came out it cost only 80 bucks for the system and 30 for a game,1024
DH8oOZEMz6w,ace_of_spades_010,Emulator time,45
DH8oOZEMz6w,owenodonnell87,No way I'm paying 80 for games. My backlog is huge anyway,672
DH8oOZEMz6w,nayru_18,can't wait to emulate it,5
DH8oOZEMz6w,mithekid1277,Bowser said if you don't have it keep playing switch one I will ya bugging ya can keep it :hundred_points:,1
DH8oOZEMz6w,yngvehiller,#droptheprices,59
DH8oOZEMz6w,krayzie_zombie,switch 2 looking alot like the ps3 launch right now. :skull:,59
DH8oOZEMz6w,gudolegus,Ain’t buying it for that price,234
DH8oOZEMz6w,fabienbriere.illustration,"You had all my interest but lost it when I saw the price of the console, the price of the game, the paid Tchat Button, the paid Welcome tour ""game"", the price of the Switch 2 Breath of th wild version's without the DLC, the empty map on Mario Kart World etc What are you doing Nintendo...",23
DH8oOZEMz6w,ofsongsandletters,"LOWER THE PRICE, please...",105
DH8oOZEMz6w,ashleyyparkes,This is going to flop so hard,5
DH8oOZEMz6w,nennt_mich_basti,Drop the price,15
DH8oOZEMz6w,azeemzzzee,"I was going to buy day one, but the game prices and no Xenoblade are a no from me",21
DH8oOZEMz6w,marson.ko,Drop the price,2
DH8oOZEMz6w,caleboday,"I have been a Nintendo fan for a long, long time. I used to play my brother's nes and super nes. My first console was a 64. I had GBC, GBA, DS, 3DS. Unfortunately we couldn't afford the Wii, but I did buy a switch and loved it. The cost games were decent and fun to play. However, I will not be allowing this to come into my home. This is way too much and not worth it.",1
DH8oOZEMz6w,hpntkz,"As a LOYAL Nintendo fan I'm not buying this for the price of video games,  ESPECIALLY $90 Breath of the Wild re-release. Are you NINSANE-tendo?",6
DH8oOZEMz6w,fezzcold_92,Greedy af.,1
DH8oOZEMz6w,milia_0777,80 and 90 is too much for a game. :loudly_crying_face:,1
DH8oOZEMz6w,trevorntello,#droptheprice,1
DH8oOZEMz6w,alina_miauu1,Drop the price,2
DH8oOZEMz6w,elimer2102,Drop the prices,1
DH8oOZEMz6w,curtismjohnston,"No trolling, no joking, just an honest take hoping somebody listens: this will be the first Nintendo I don’t buy, and it’s because of the price.",1
DH8oOZEMz6w,valeug91,Drop the price,1
DH8oOZEMz6w,ulloaaaa,,2
DH8oOZEMz6w,victoriacegarraofficial,So damn expensive,1
DH8oOZEMz6w,chicles_normales,Drop the price,1
DH8oOZEMz6w,null_bracket,"Was really looking forward to Switch 2, as I'm a longtime fan of Nintendo, this was gonna be my summer, but these prices are absurd, and will set a precedent, making not just gaming with Nintendo cost prohibitive, but have lasting impacts on the entire industry, guess I'll have to find something else to do with my time and money. overall, very disappointed. Drop the prices.",17
DH8oOZEMz6w,kit__kittredge,Beyond greedy this will be Nintendo last console,1
DH8oOZEMz6w,irl_matteo,"Drop the price… come on Nintendo you know no one is gonna buy this. You did this with the 3DS, do it for the Switch 2.
Hope those sales numbers are pretty low for you to see that it’s not gonna sell well and you’ll have to drop the price",1
DH8oOZEMz6w,a.noiseux48,Y’all are foul for these new prices.,1
DH8oOZEMz6w,liraff6511,Outrageous pricing for these games. Why do I have to pay to upgrade a game to run at 1080p? That should be a free upgrade. Absolute bs. Was excited for this but the pricing of everything ruined any and all hype. Screw Nintendo,1
DH8oOZEMz6w,teylerrruh,"AINT PAYING 90, STEAM DECK HERE WE COME !!!!!!",1065
DH8oOZEMz6w,_chemlal.bilal_,Drop the price,306
DH8oOZEMz6w,kisigma,People complaining about the prices but dont realized playstation been robbing you guys for centuries not delivering a steady 60 fp refresh rate with a higher price point then the switch 2! mang be quiet.. :clown_face:,7
DH8oOZEMz6w,marcospoggi,Drop the price,281
DH8oOZEMz6w,meuble_ikea.jpg13,DROP THE PRICES,533
DH8oOZEMz6w,josue3836,Drop the price,299
DH8oOZEMz6w,julianohodges,$80 digital and a $90 dollar physical is robbery yall..,317
DH8oOZEMz6w,jxn_neill,$160 for 2 games. I don’t think so,588
DH8oOZEMz6w,lepiii71,Mercenaries :skull:,1
DH8oOZEMz6w,iker14marco,DROP THE PRICES!!,3
DH8oOZEMz6w,cole_mcwilliams1,No more Nintendo games or consoles for me!,3
DH8oOZEMz6w,mikemorrisart,If only it was affordable. -_-,3
DH8oOZEMz6w,muhammed_demir47.16,Drop  the prices,3
DH8oOZEMz6w,onibelfi,Drop The Prices,3
DH8oOZEMz6w,andymontes_1234,Drop the price,3
DH8oOZEMz6w,sozoinks_axel,DROP THE PRICE,3
DH8oOZEMz6w,pandazz.gaming,90 dollars for physical games? Way to thank your fans for making the switch so successful. RIP,931
DH8oOZEMz6w,rileyschwer1n,Drop the prices Nintendo. You literally just put functioning game chat in your consoles and I’m pretty sure that’s been around home consoles since like 2000.,3
DH8oOZEMz6w,njlentzxc,"Was gonna buy this then I found out I cannot afford a single game, thanks Nintendo!",3
DH8oOZEMz6w,cyairmtz,"I don’t want a key, I want to own the game I buy",4
DH8oOZEMz6w,swedenkvist,"So a total of around 600$ for the console plus a new game? Not to mention that you're charging people upwards of 60$ for games that are ten years old and released at 20-30$ when they were newly released on an older console. Also, your games NEVER go on sale or drop in price. Yeah, I'm definitely gonna spend my money elsewhere... I just don't want to support these greedy business practices #boycottnintendo",2
